category,airdate,created_at,question,updated_at,value,answer,game_id,category_id,invalid_count,id
"{u'updated_at': u'2014-02-11T22:47:19.520Z', u'created_at': u'2014-02-11T22:47:19.520Z', u'id': 10, u'clues_count': 92, u'title': u""children's literature""}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.595Z,"Little girl who called ""Sunnybrook Farm"" home",2014-02-11T22:47:19.595Z,100,Rebecca,,10,,34
"{u'updated_at': u'2014-02-11T22:47:19.531Z', u'created_at': u'2014-02-11T22:47:19.531Z', u'id': 11, u'clues_count': 50, u'title': u'trivia'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.607Z,The order of works in a dictionary,2014-02-11T22:47:19.607Z,100,alphabetic,,11,,35
"{u'updated_at': u'2014-02-11T22:47:19.542Z', u'created_at': u'2014-02-11T22:47:19.542Z', u'id': 12, u'clues_count': 5, u'title': u'""ac""/""dc""'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.619Z,"For this perennial teen-ager, life's been one big ""Bandstand""",2014-02-11T22:47:19.619Z,100,Dick Clark,,12,,36
"{u'updated_at': u'2014-02-11T22:47:19.485Z', u'created_at': u'2014-02-11T22:47:19.485Z', u'id': 7, u'clues_count': 245, u'title': u'u.s. cities'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.665Z,"Colorado city whose name means ""town"" in Spanish",2014-02-11T22:47:19.665Z,200,Pueblo,,7,,37
"{u'updated_at': u'2014-02-11T22:47:19.499Z', u'created_at': u'2014-02-11T22:47:19.499Z', u'id': 8, u'clues_count': 35, u'title': u'time'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.677Z,"It ""comes in like a lion & goes out like a lamb""",2014-02-11T22:47:19.677Z,200,March,,8,,38
"{u'updated_at': u'2014-02-11T22:47:19.510Z', u'created_at': u'2014-02-11T22:47:19.510Z', u'id': 9, u'clues_count': 20, u'title': u'dining out'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.689Z,"If employed by Greyhound their motto might be ""Leave the clearing to us""",2014-02-11T22:47:19.689Z,200,busboys,,9,,39
"{u'updated_at': u'2014-02-11T22:47:19.520Z', u'created_at': u'2014-02-11T22:47:19.520Z', u'id': 10, u'clues_count': 92, u'title': u""children's literature""}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.700Z,Hans Brinker's were silver,2014-02-11T22:47:19.700Z,200,ice skates,,10,,40
"{u'updated_at': u'2014-02-11T22:47:19.531Z', u'created_at': u'2014-02-11T22:47:19.531Z', u'id': 11, u'clues_count': 50, u'title': u'trivia'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.711Z,Party symbol 1st used by Andrew Jackson after opponents called him a jackass,2014-02-11T22:47:19.711Z,200,donkey,,11,,41
"{u'updated_at': u'2014-02-11T22:47:19.542Z', u'created_at': u'2014-02-11T22:47:19.542Z', u'id': 12, u'clues_count': 5, u'title': u'""ac""/""dc""'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.723Z,"He's the master of ""Masterpiece Theater""",2014-02-11T22:47:19.723Z,200,Alistair Cooke,,12,,42
"{u'updated_at': u'2014-02-11T22:47:19.485Z', u'created_at': u'2014-02-11T22:47:19.485Z', u'id': 7, u'clues_count': 245, u'title': u'u.s. cities'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.735Z,The city of Niagara Falls is its largest suburb,2014-02-11T22:47:19.735Z,300,Buffalo,,7,,43
"{u'updated_at': u'2014-02-11T22:47:19.499Z', u'created_at': u'2014-02-11T22:47:19.499Z', u'id': 8, u'clues_count': 35, u'title': u'time'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.747Z,Number of months with exactly 30 days,2014-02-11T22:47:19.747Z,300,4,,8,,44
"{u'updated_at': u'2014-02-11T22:47:19.510Z', u'created_at': u'2014-02-11T22:47:19.510Z', u'id': 9, u'clues_count': 20, u'title': u'dining out'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.760Z,"In Italian it's the course ordered ""before the meal""",2014-02-11T22:47:19.760Z,300,antipasto,,9,,45
"{u'updated_at': u'2014-02-11T22:47:19.520Z', u'created_at': u'2014-02-11T22:47:19.520Z', u'id': 10, u'clues_count': 92, u'title': u""children's literature""}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.772Z,"As it called, it chanted, ""I think I can, I think I can""",2014-02-11T22:47:19.772Z,300,The Little Engine,,10,,46
"{u'updated_at': u'2014-02-11T22:47:19.542Z', u'created_at': u'2014-02-11T22:47:19.542Z', u'id': 12, u'clues_count': 5, u'title': u'""ac""/""dc""'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.796Z,She's the mother of Cary Grant's only child,2014-02-11T22:47:19.796Z,300,Dyan Cannon,,12,,48
"{u'updated_at': u'2014-02-11T22:47:19.485Z', u'created_at': u'2014-02-11T22:47:19.485Z', u'id': 7, u'clues_count': 245, u'title': u'u.s. cities'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.808Z,"Known for manufacturing grain silos, it's North Dakota's largest city",2014-02-11T22:47:19.808Z,400,Fargo,,7,,49
"{u'updated_at': u'2014-02-11T22:47:19.499Z', u'created_at': u'2014-02-11T22:47:19.499Z', u'id': 8, u'clues_count': 35, u'title': u'time'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.819Z,"Lucky children born that day are ""fair & wise & good & gay""",2014-02-11T22:47:19.819Z,400,Sunday,,8,,50
"{u'updated_at': u'2014-02-11T22:47:19.510Z', u'created_at': u'2014-02-11T22:47:19.510Z', u'id': 9, u'clues_count': 20, u'title': u'dining out'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.831Z,"As sommelier, he hopes to ply you with the finest vintage",2014-02-11T22:47:19.831Z,400,wine steward,,9,,51
"{u'updated_at': u'2014-02-11T22:47:19.520Z', u'created_at': u'2014-02-11T22:47:19.520Z', u'id': 10, u'clues_count': 92, u'title': u""children's literature""}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.844Z,Enid Bagnold's book that became Liz Taylor's 1st starring vehicle,2014-02-11T22:47:19.844Z,400,<i>National Velvet</i>,,10,,52
"{u'updated_at': u'2014-02-11T22:47:19.531Z', u'created_at': u'2014-02-11T22:47:19.531Z', u'id': 11, u'clues_count': 50, u'title': u'trivia'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.855Z,,2014-02-11T22:47:19.855Z,,<i>National Velvet</i>,,11,,53
"{u'updated_at': u'2014-02-11T22:47:19.542Z', u'created_at': u'2014-02-11T22:47:19.542Z', u'id': 12, u'clues_count': 5, u'title': u'""ac""/""dc""'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.867Z,American sculptor known for his playful metal mobiles,2014-02-11T22:47:19.867Z,400,Alexander Calder,,12,,54
"{u'updated_at': u'2014-02-11T22:47:19.485Z', u'created_at': u'2014-02-11T22:47:19.485Z', u'id': 7, u'clues_count': 245, u'title': u'u.s. cities'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.878Z,"""Hub of the high plains"" Mac Davis saw it in his rearview mirror",2014-02-11T22:47:19.878Z,,"Lubbock, Texas",,7,,55
"{u'updated_at': u'2014-02-11T22:47:19.499Z', u'created_at': u'2014-02-11T22:47:19.499Z', u'id': 8, u'clues_count': 35, u'title': u'time'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.890Z,"Repeating group of days whose name means ""a turning"" in Old Norse",2014-02-11T22:47:19.890Z,500,week,,8,,56
"{u'updated_at': u'2014-02-11T22:47:19.510Z', u'created_at': u'2014-02-11T22:47:19.510Z', u'id': 9, u'clues_count': 20, u'title': u'dining out'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.902Z,,2014-02-11T22:47:19.902Z,,week,,9,,57
"{u'updated_at': u'2014-02-11T22:47:19.531Z', u'created_at': u'2014-02-11T22:47:19.531Z', u'id': 11, u'clues_count': 50, u'title': u'trivia'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.784Z,,2016-03-30T15:15:17.448Z,,The Little Engine,,11,1,47
"{u'updated_at': u'2014-02-11T22:47:19.520Z', u'created_at': u'2014-02-11T22:47:19.520Z', u'id': 10, u'clues_count': 92, u'title': u""children's literature""}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.915Z,,2014-02-11T22:47:19.915Z,,week,,10,,58
"{u'updated_at': u'2014-02-11T22:47:18.718Z', u'created_at': u'2014-02-11T22:47:18.718Z', u'id': 3, u'clues_count': 35, u'title': u'odd jobs'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.118Z,,2019-05-03T14:06:12.516Z,,Sparky Anderson,,3,1,27
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.129Z,,2019-05-03T14:08:51.169Z,,Sparky Anderson,,4,1,28
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.854Z,"Subtitled ""The Search for Spock""",2019-07-25T06:24:45.974Z,100,<i>Star Trek III</i>,,4,1,4
"{u'updated_at': u'2014-02-11T22:47:19.531Z', u'created_at': u'2014-02-11T22:47:19.531Z', u'id': 11, u'clues_count': 50, u'title': u'trivia'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.928Z,,2014-02-11T22:47:19.928Z,,week,,11,,59
"{u'updated_at': u'2014-02-11T22:47:19.542Z', u'created_at': u'2014-02-11T22:47:19.542Z', u'id': 12, u'clues_count': 5, u'title': u'""ac""/""dc""'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.939Z,"Born Vincent Furnier, this flamboyant singer ""welcomed us to his nightmare"" in '75",2014-02-11T22:47:19.939Z,500,Alice Cooper,,12,,60
"{u'updated_at': u'2014-02-11T22:47:20.279Z', u'created_at': u'2014-02-11T22:47:20.279Z', u'id': 13, u'clues_count': 65, u'title': u'inventions'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.355Z,"""Fulton's Folly""",2014-02-11T22:47:20.355Z,100,a steamboat,,13,,61
"{u'updated_at': u'2014-02-11T22:47:20.291Z', u'created_at': u'2014-02-11T22:47:20.291Z', u'id': 14, u'clues_count': 5, u'title': u'ancient worlds'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.366Z,Where all roads were supposed to have led,2014-02-11T22:47:20.366Z,100,Rome,,14,,62
"{u'updated_at': u'2014-02-11T22:47:20.302Z', u'created_at': u'2014-02-11T22:47:20.302Z', u'id': 15, u'clues_count': 5, u'title': u'hollywood legends'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.377Z,Brando was 2 when his mom appeared on stage with this dad of Peter & Jane,2014-02-11T22:47:20.377Z,100,Henry Fonda,,15,,63
"{u'updated_at': u'2014-02-11T22:47:20.318Z', u'created_at': u'2014-02-11T22:47:20.318Z', u'id': 16, u'clues_count': 35, u'title': u'cars'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.389Z,Daimler & Benz borrowed this name from a friend's daughter,2014-02-11T22:47:20.389Z,100,Mercedes,,16,,64
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.400Z,The Empire State,2014-02-11T22:47:20.400Z,100,New York,,17,,65
"{u'updated_at': u'2014-02-11T22:47:20.340Z', u'created_at': u'2014-02-11T22:47:20.340Z', u'id': 18, u'clues_count': 5, u'title': u'""hard""'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.412Z,Fermented apple juice,2014-02-11T22:47:20.412Z,100,hard cider,,18,,66
"{u'updated_at': u'2014-02-11T22:47:20.279Z', u'created_at': u'2014-02-11T22:47:20.279Z', u'id': 13, u'clues_count': 65, u'title': u'inventions'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.424Z,"Early ones were called the ""hobby horse"", ""penny-farthing"" & ""high-wheeler""",2014-02-11T22:47:20.424Z,200,a bicycle,,13,,67
"{u'updated_at': u'2014-02-11T22:47:20.291Z', u'created_at': u'2014-02-11T22:47:20.291Z', u'id': 14, u'clues_count': 5, u'title': u'ancient worlds'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.443Z,"Its people called it ""kemet"", color of black, from land after flooding by Nile",2014-02-11T22:47:20.443Z,200,Egypt,,14,,68
"{u'updated_at': u'2014-02-11T22:47:20.302Z', u'created_at': u'2014-02-11T22:47:20.302Z', u'id': 15, u'clues_count': 5, u'title': u'hollywood legends'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.483Z,She won 8 Academy Awards with only her clothes appearing on screen,2014-02-11T22:47:20.483Z,200,Edith Head,,15,,69
"{u'updated_at': u'2014-02-11T22:47:20.318Z', u'created_at': u'2014-02-11T22:47:20.318Z', u'id': 16, u'clues_count': 35, u'title': u'cars'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.494Z,GM car named for Indian chief who tried to take Ft. Detroit,2014-02-11T22:47:20.494Z,200,Pontiac,,16,,70
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.505Z,The ceiling of its capitol features a lone star,2014-02-11T22:47:20.505Z,200,Texas,,17,,71
"{u'updated_at': u'2014-02-11T22:47:20.340Z', u'created_at': u'2014-02-11T22:47:20.340Z', u'id': 18, u'clues_count': 5, u'title': u'""hard""'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.517Z,"Descriptive of Mike Hammer, Private Eye, or a 20-minute egg",2014-02-11T22:47:20.517Z,200,hard-boiled,,18,,72
"{u'updated_at': u'2014-02-11T22:47:20.279Z', u'created_at': u'2014-02-11T22:47:20.279Z', u'id': 13, u'clues_count': 65, u'title': u'inventions'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.528Z,1899 device for attaching papers that can ruin a computer disc when magnetized,2014-02-11T22:47:20.528Z,300,a paper clip,,13,,73
"{u'updated_at': u'2014-02-11T22:47:20.291Z', u'created_at': u'2014-02-11T22:47:20.291Z', u'id': 14, u'clues_count': 5, u'title': u'ancient worlds'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.540Z,Followed the Stone Age; named for copper alloy people used for tools & weapons,2014-02-11T22:47:20.540Z,300,the Bronze Age,,14,,74
"{u'updated_at': u'2014-02-11T22:47:20.302Z', u'created_at': u'2014-02-11T22:47:20.302Z', u'id': 15, u'clues_count': 5, u'title': u'hollywood legends'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.551Z,"The 3 stars of ""Rebel Without a Cause"" who met with untimely deaths",2014-02-11T22:47:20.551Z,,"Natalie Wood, James Dean, and Sal Mineo",,15,,75
"{u'updated_at': u'2014-02-11T22:47:20.318Z', u'created_at': u'2014-02-11T22:47:20.318Z', u'id': 16, u'clues_count': 35, u'title': u'cars'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.562Z,What BMW stands for,2014-02-11T22:47:20.562Z,300,Bavarian Motor Works,,16,,76
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.573Z,"Only U.S. state with a ""Z"" in its name",2014-02-11T22:47:20.573Z,300,Arizona,,17,,77
"{u'updated_at': u'2014-02-11T22:47:20.340Z', u'created_at': u'2014-02-11T22:47:20.340Z', u'id': 18, u'clues_count': 5, u'title': u'""hard""'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.584Z,Reason people used to stick a trumpet in their ear,2014-02-11T22:47:20.584Z,300,hard of hearing,,18,,78
"{u'updated_at': u'2014-02-11T22:47:20.279Z', u'created_at': u'2014-02-11T22:47:20.279Z', u'id': 13, u'clues_count': 65, u'title': u'inventions'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.595Z,"After inventing the lever & pulley, this Greek said, ""I will move the Earth""",2014-02-11T22:47:20.595Z,400,Archimedes,,13,,79
"{u'updated_at': u'2014-02-11T22:47:20.291Z', u'created_at': u'2014-02-11T22:47:20.291Z', u'id': 14, u'clues_count': 5, u'title': u'ancient worlds'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.607Z,The Chinese once regarded calligraphy as a branch of this art,2014-02-11T22:47:20.607Z,400,painting,,14,,80
"{u'updated_at': u'2014-02-11T22:47:20.302Z', u'created_at': u'2014-02-11T22:47:20.302Z', u'id': 15, u'clues_count': 5, u'title': u'hollywood legends'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.618Z,"In her 1st film she sang with ""Alfalfa"" Switzer; in her next, she was paired with Lassie",2014-02-11T22:47:20.618Z,400,Elizabeth Taylor,,15,,81
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.642Z,The New England state without an Atlantic Ocean coastline,2014-02-11T22:47:20.642Z,400,Vermont,,17,,83
"{u'updated_at': u'2014-02-11T22:47:20.340Z', u'created_at': u'2014-02-11T22:47:20.340Z', u'id': 18, u'clues_count': 5, u'title': u'""hard""'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.653Z,TV role Brian Keith judged OK to play,2014-02-11T22:47:20.653Z,400,Hardcastle,,18,,84
"{u'updated_at': u'2014-02-11T22:47:20.279Z', u'created_at': u'2014-02-11T22:47:20.279Z', u'id': 13, u'clues_count': 65, u'title': u'inventions'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.664Z,"1st one to attempt sinking a warship was the ""Turtle"" in the Revolutionary War",2014-02-11T22:47:20.664Z,500,a submarine,,13,,85
